id,release_date,movie,production_budget,domestic_gross,worldwide_gross,release_year,studio,foreign_gross,year,genre_ids,popularity,movie_id,runtime_minutes,genres,profit,profit_rate
2,2011-05-20,Pirates of the Caribbean: On Stranger Tides,410600000.0,241063875.0,1045663875.0,2011,BV,804600000.0,2011,"[12, 28, 14]",30.579,tt1298650,136.0,"Action,Adventure,Fantasy",635063875.0,154.6672856794934
4,2015-05-01,Avengers: Age of Ultron,330600000.0,459005868.0,1403013963.0,2015,BV,946400000.0,2015,"[28, 12, 878]",44.383,tt2395427,141.0,"Action,Adventure,Sci-Fi",1072413963.0,324.38413883847545
7,2018-04-27,Avengers: Infinity War,300000000.0,678815482.0,2048134200.0,2018,BV,,2018,"[12, 28, 14]",80.773,tt4154756,149.0,"Action,Adventure,Sci-Fi",1748134200.0,582.7114
9,2017-11-17,Justice League,300000000.0,229024295.0,655945209.0,2017,WB,428900000.0,2017,"[28, 12, 14, 878]",34.953,tt0974015,120.0,"Action,Adventure,Fantasy",355945209.0,118.64840299999999
10,2015-11-06,Spectre,300000000.0,200074175.0,879620923.0,2015,Sony,680600000.0,2015,"[28, 12, 80]",30.318,tt2379713,148.0,"Action,Adventure,Thriller",579620923.0,193.20697433333333
11,2012-07-20,The Dark Knight Rises,275000000.0,448139099.0,1084439099.0,2012,WB,636800000.0,2012,"[28, 80, 18, 53]",26.22,tt1345836,164.0,"Action,Thriller",809439099.0,294.3414905454545
12,2018-05-25,Solo: A Star Wars Story,275000000.0,213767512.0,393151347.0,2018,BV,179200000.0,2018,"[28, 12, 878]",29.502,tt3778644,135.0,"Action,Adventure,Fantasy",118151347.0,42.96412618181818
13,2013-07-02,The Lone Ranger,275000000.0,89302115.0,260002115.0,2013,BV,171200000.0,2013,"[28, 12, 37]",12.482,tt1210819,150.0,"Action,Adventure,Western",-14997885.0,-5.453776363636364
14,2012-03-09,John Carter,275000000.0,73058679.0,282778100.0,2012,BV,211100000.0,2012,"[28, 12, 878]",18.549,tt0401729,132.0,"Action,Adventure,Sci-Fi",7778100.0,2.8284
17,2016-05-06,Captain America: Civil War,250000000.0,408084349.0,1140069413.0,2016,BV,745200000.0,2016,"[12, 28, 878]",39.137,tt3498820,147.0,"Action,Adventure,Sci-Fi",890069413.0,356.0277652
18,2016-03-25,Batman v Superman: Dawn of Justice,250000000.0,330360194.0,867500281.0,2016,WB,543300000.0,2016,"[28, 12, 14]",28.088,tt2975590,151.0,"Action,Adventure,Fantasy",617500281.0,247.0001124
19,2012-12-14,The Hobbit: An Unexpected Journey,250000000.0,303003568.0,1017003568.0,2012,WB (NL),718100000.0,2012,"[12, 14, 28]",26.939,tt0903624,169.0,"Adventure,Family,Fantasy",767003568.0,306.80142720000003
21,2013-12-13,The Hobbit: The Desolation of Smaug,250000000.0,258366855.0,960366855.0,2013,WB (NL),700000000.0,2013,"[12, 14, 28]",21.275,tt1170358,161.0,"Adventure,Fantasy",710366855.0,284.14674199999996
22,2014-12-17,The Hobbit: The Battle of the Five Armies,250000000.0,255119788.0,945577621.0,2014,WB (NL),700900000.0,2014,"[28, 12, 14]",53.783,tt2310332,144.0,"Adventure,Fantasy",695577621.0,278.23104839999996
23,2017-04-14,The Fate of the Furious,250000000.0,225764765.0,1234846267.0,2017,Uni.,,2017,"[28, 80, 53]",28.668000000000006,tt4630562,136.0,"Action,Crime,Thriller",984846267.0,393.9385068
25,2017-05-26,Pirates of the Caribbean: Dead Men Tell No Tales,230000000.0,172558876.0,788241137.0,2017,BV,622300000.0,2017,"[12, 28, 14, 35]",28.101,tt1790809,129.0,"Action,Adventure,Fantasy",558241137.0,242.71353782608696
29,2013-06-14,Man of Steel,225000000.0,291045518.0,667999518.0,2013,WB,377000000.0,2013,"[28, 12, 14, 878]",27.667,tt0770828,143.0,"Action,Adventure,Sci-Fi",442999518.0,196.88867466666667
31,2012-07-03,The Amazing Spider-Man,220000000.0,262030663.0,757890267.0,2012,Sony,495900000.0,2012,"[28, 12, 14]",24.391,tt0948470,136.0,"Action,Adventure,Sci-Fi",537890267.0,244.4955759090909
32,2012-05-18,Battleship,220000000.0,65233400.0,313477717.0,2012,Uni.,237600000.0,2012,"[53, 28, 12, 878]",21.742,tt1440129,131.0,"Action,Adventure,Sci-Fi",93477717.0,42.48987136363636
33,2017-06-21,Transformers: The Last Knight,217000000.0,130168683.0,602893340.0,2017,Par.,475300000.0,2017,"[28, 878, 53, 12]",24.258000000000006,tt3371366,154.0,"Action,Adventure,Sci-Fi",385893340.0,177.8310322580645
34,2015-06-12,Jurassic World,215000000.0,652270625.0,1648854864.0,2015,Uni.,,2015,"[28, 12, 878, 53]",20.709,tt0369610,124.0,"Action,Adventure,Sci-Fi",1433854864.0,666.9092390697674
37,2014-06-27,Transformers: Age of Extinction,210000000.0,245439076.0,1104039076.0,2014,Par.,858600000.0,2014,"[878, 28, 12]",20.961,tt2109248,165.0,"Action,Adventure,Sci-Fi",894039076.0,425.7328933333333
42,2018-02-16,Black Panther,200000000.0,700059566.0,1348258224.0,2018,BV,646900000.0,2018,"[28, 16]",2.0580000000000003,tt1825683,134.0,"Action,Adventure,Sci-Fi",1148258224.0,574.129112
44,2018-06-15,Incredibles 2,200000000.0,608581744.0,1242520711.0,2018,BV,634200000.0,2018,"[28, 12, 16, 10751]",36.286,tt3606756,118.0,"Action,Adventure,Animation",1042520711.0,521.2603555000001
45,2016-12-16,Rogue One: A Star Wars Story,200000000.0,532177324.0,1049102856.0,2016,BV,523900000.0,2016,"[28, 12, 878]",21.401,tt3748528,133.0,"Action,Adventure,Sci-Fi",849102856.0,424.551428
46,2016-06-17,Finding Dory,200000000.0,486295561.0,1021215193.0,2016,BV,542300000.0,2016,"[12, 16, 35, 10751]",15.393,tt2277860,97.0,"Adventure,Animation,Comedy",821215193.0,410.60759649999994
48,2013-05-03,Iron Man 3,200000000.0,408992272.0,1215392272.0,2013,BV,805800000.0,2013,"[28, 12, 878]",32.093,tt1300854,130.0,"Action,Adventure,Sci-Fi",1015392272.0,507.696136
52,2012-11-08,Skyfall,200000000.0,304360277.0,1110526981.0,2012,Sony,804200000.0,2012,"[28, 12, 53]",19.27,tt1074638,143.0,"Action,Adventure,Thriller",910526981.0,455.2634905
53,2013-06-21,Monsters University,200000000.0,268488329.0,743588329.0,2013,BV,475700000.0,2013,"[16, 10751]",20.33,tt1453405,104.0,"Adventure,Animation,Comedy",543588329.0,271.79416449999997
55,2014-05-23,X-Men: Days of Future Past,200000000.0,233921534.0,747862775.0,2014,Fox,513900000.0,2014,"[28, 12, 14, 878]",41.867,tt1877832,132.0,"Action,Adventure,Sci-Fi",547862775.0,273.9313875
56,2014-05-02,The Amazing Spider-Man 2,200000000.0,202853933.0,708996336.0,2014,Sony,506100000.0,2014,"[28, 12, 14]",20.847,tt1872181,142.0,"Action,Adventure,Sci-Fi",508996336.0,254.498168
57,2011-06-24,Cars 2,200000000.0,191450875.0,560155383.0,2011,BV,370700000.0,2011,"[16, 10751, 12, 35]",23.498,tt1216475,106.0,"Adventure,Animation,Comedy",360155383.0,180.0776915
60,2018-11-16,Fantastic Beasts: The Crimes of Grindelwald,200000000.0,159555901.0,652220086.0,2018,WB,494100000.0,2018,[12],48.508,tt4123430,134.0,"Adventure,Family,Fantasy",452220086.0,226.110043
62,2011-06-17,Green Lantern,200000000.0,116601172.0,219535492.0,2011,WB,103300000.0,2011,"[12, 28, 53, 878]",17.257,tt1133985,114.0,"Action,Adventure,Sci-Fi",19535492.0,9.767745999999999
64,2011-06-29,Transformers: Dark of the Moon,195000000.0,352390543.0,1123790543.0,2011,P/DW,771400000.0,2011,"[28, 878, 12]",5.339,tt1399103,154.0,"Action,Adventure,Sci-Fi",928790543.0,476.3028425641026
66,2013-03-01,Jack the Giant Slayer,195000000.0,65187603.0,197687603.0,2013,WB (NL),132500000.0,2013,"[28, 12, 10751, 14]",12.773,tt1351685,114.0,"Adventure,Fantasy",2687603.0,1.3782579487179487
67,2015-04-03,Furious 7,190000000.0,353007020.0,1518722794.0,2015,Uni.,,2015,"[28, 80, 53]",20.396,tt2820852,137.0,"Action,Crime,Thriller",1328722794.0,699.3277863157895
68,2013-05-16,Star Trek Into Darkness,190000000.0,228778661.0,467381584.0,2013,Par.,238600000.0,2013,"[28, 12, 878]",20.487,tt1408101,132.0,"Action,Adventure,Sci-Fi",277381584.0,145.99030736842104
69,2013-06-21,World War Z,190000000.0,202359711.0,531514650.0,2013,Par.,337600000.0,2013,"[28, 18, 27, 878, 53]",14.582,tt0816711,116.0,"Action,Adventure,Horror",341514650.0,179.74455263157896
72,2013-07-12,Pacific Rim,190000000.0,101802906.0,411002906.0,2013,WB,309200000.0,2013,"[28, 878, 12]",16.759,tt1663662,131.0,"Action,Adventure,Sci-Fi",221002906.0,116.31731894736843
73,2015-11-25,The Good Dinosaur,187500000.0,123087120.0,333771037.0,2015,BV,209100000.0,2015,"[12, 16, 10751]",17.675,tt1979388,93.0,"Adventure,Animation,Comedy",146271037.0,78.01121973333333
77,2012-06-22,Brave,185000000.0,237282182.0,554606532.0,2012,BV,303200000.0,2012,[28],0.6,tt1217209,93.0,"Adventure,Animation,Comedy",369606532.0,199.7873145945946
78,2017-03-10,Kong: Skull Island,185000000.0,168052812.0,561072059.0,2017,WB,398600000.0,2017,"[28, 12, 14]",29.388,tt3731562,118.0,"Action,Adventure,Fantasy",376072059.0,203.28219405405403
79,2016-07-22,Star Trek Beyond,185000000.0,158848340.0,335802233.0,2016,Par.,184600000.0,2016,"[28, 12, 878]",19.142,tt2660888,122.0,"Action,Adventure,Sci-Fi",150802233.0,81.51472054054054
80,2017-10-06,Blade Runner 2049,185000000.0,92054159.0,259357408.0,2017,WB,167200000.0,2017,"[878, 28, 53]",48.57100000000001,tt1856101,164.0,"Drama,Mystery,Sci-Fi",74357408.0,40.19319351351351
82,2017-11-03,Thor: Ragnarok,180000000.0,315058289.0,846980024.0,2017,BV,538900000.0,2017,"[28, 12, 35, 14]",43.45,tt3501632,130.0,"Action,Adventure,Comedy",666980024.0,370.5444577777778
84,2014-05-30,Maleficent,180000000.0,241407328.0,758536735.0,2014,BV,517100000.0,2014,"[14, 12, 28, 10751, 10749]",19.274,tt1587310,97.0,"Action,Adventure,Family",578536735.0,321.4092972222222
88,2016-07-01,The Legend of Tarzan,180000000.0,126643061.0,348902025.0,2016,WB,230100000.0,2016,"[28, 12]",14.797,tt0918940,110.0,"Action,Adventure,Drama",168902025.0,93.83445833333333
89,2011-11-23,Hugo,180000000.0,73864507.0,180047784.0,2011,Par.,111900000.0,2011,"[12, 18, 10751]",12.936,tt0970179,126.0,"Adventure,Drama,Family",47784.0,0.026546666666666666
89,2011-11-23,Hugo,180000000.0,73864507.0,180047784.0,2011,Par.,111900000.0,2011,"[12, 18, 10751]",12.936,tt7496196,80.0,Documentary,47784.0,0.026546666666666666
90,2017-07-21,Valerian and the City of a Thousand Planets,180000000.0,40479370.0,215098356.0,2017,STX,184700000.0,2017,"[12, 878, 28]",24.003,tt2239822,137.0,"Action,Adventure,Fantasy",35098356.0,19.499086666666667
91,2015-02-06,Jupiter Ascending,179000000.0,47482519.0,181982519.0,2015,WB,136600000.0,2015,"[878, 14, 28, 12]",24.058000000000003,tt1617661,127.0,"Action,Adventure,Sci-Fi",2982519.0,1.6662117318435754
93,2016-05-27,X-Men: Apocalypse,178000000.0,155442489.0,542537546.0,2016,Fox,388500000.0,2016,"[28, 12, 878, 14]",39.293,tt3385516,144.0,"Action,Adventure,Sci-Fi",364537546.0,204.79637415730338
