,id_x,release_date_x,movie,production_budget,domestic_gross_x,worldwide_gross,release_year,title,studio,foreign_gross,year,genre_ids,original_language,original_title,popularity,vote_average,vote_count
0,2,2011-05-20,Pirates of the Caribbean: On Stranger Tides,410600000.0,241063875.0,1045663875.0,2011,Pirates of the Caribbean: On Stranger Tides,BV,804600000.0,2011,"[12, 28, 14]",en,Pirates of the Caribbean: On Stranger Tides,30.579,6.4,8571
1,4,2015-05-01,Avengers: Age of Ultron,330600000.0,459005868.0,1403013963.0,2015,Avengers: Age of Ultron,BV,946400000.0,2015,"[28, 12, 878]",en,Avengers: Age of Ultron,44.383,7.3,13457
2,7,2018-04-27,Avengers: Infinity War,300000000.0,678815482.0,2048134200.0,2018,Avengers: Infinity War,BV,,2018,"[12, 28, 14]",en,Avengers: Infinity War,80.773,8.3,13948
3,9,2017-11-17,Justice League,300000000.0,229024295.0,655945209.0,2017,Justice League,WB,428900000.0,2017,"[28, 12, 14, 878]",en,Justice League,34.953,6.2,7510
4,9,2017-11-17,Justice League,300000000.0,229024295.0,655945209.0,2017,Justice League,WB,428900000.0,2017,"[28, 12, 14, 878]",en,Justice League,34.953,6.2,7510
5,10,2015-11-06,Spectre,300000000.0,200074175.0,879620923.0,2015,Spectre,Sony,680600000.0,2015,"[28, 12, 80]",en,Spectre,30.318,6.4,6719
6,10,2015-11-06,Spectre,300000000.0,200074175.0,879620923.0,2015,Spectre,Sony,680600000.0,2015,"[28, 12, 80]",en,Spectre,30.318,6.4,6719
7,11,2012-07-20,The Dark Knight Rises,275000000.0,448139099.0,1084439099.0,2012,The Dark Knight Rises,WB,636800000.0,2012,"[28, 80, 18, 53]",en,The Dark Knight Rises,26.22,7.7,13933
8,12,2018-05-25,Solo: A Star Wars Story,275000000.0,213767512.0,393151347.0,2018,Solo: A Star Wars Story,BV,179200000.0,2018,"[28, 12, 878]",en,Solo: A Star Wars Story,29.502,6.6,3838
9,13,2013-07-02,The Lone Ranger,275000000.0,89302115.0,260002115.0,2013,The Lone Ranger,BV,171200000.0,2013,"[28, 12, 37]",en,The Lone Ranger,12.482000000000001,6.0,3789
10,14,2012-03-09,John Carter,275000000.0,73058679.0,282778100.0,2012,John Carter,BV,211100000.0,2012,"[28, 12, 878]",en,John Carter,18.549,6.1,3338
11,17,2016-05-06,Captain America: Civil War,250000000.0,408084349.0,1140069413.0,2016,Captain America: Civil War,BV,745200000.0,2016,"[12, 28, 878]",en,Captain America: Civil War,39.137,7.4,14000
12,18,2016-03-25,Batman v Superman: Dawn of Justice,250000000.0,330360194.0,867500281.0,2016,Batman v Superman: Dawn of Justice,WB,543300000.0,2016,"[28, 12, 14]",en,Batman v Superman: Dawn of Justice,28.088,5.8,11991
13,19,2012-12-14,The Hobbit: An Unexpected Journey,250000000.0,303003568.0,1017003568.0,2012,The Hobbit: An Unexpected Journey,WB (NL),718100000.0,2012,"[12, 14, 28]",en,The Hobbit: An Unexpected Journey,26.939,7.2,12076
14,21,2013-12-13,The Hobbit: The Desolation of Smaug,250000000.0,258366855.0,960366855.0,2013,The Hobbit: The Desolation of Smaug,WB (NL),700000000.0,2013,"[12, 14, 28]",en,The Hobbit: The Desolation of Smaug,21.275,7.6,7739
